Unit ID,Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,Government unit ID,Wiki URL,Wiki URL local
OG0014179,"Henderson, E. (Cotton Valley) - Amplify",,oil and gas,asset,United States,Texas,32.08846017,-94.82034784,exact,operating,2019,,,Amplify Energy,,,,,,40356200_020467,"https://www.gem.wiki/Henderson,_E._(Cotton_Valley)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014180,Oak Hill (Cotton Valley) - Amplify,,oil and gas,asset,United States,Texas,32.32808187,-94.68987056,exact,operating,2019,,,Amplify Energy,,,,,,66461275_020467,"https://www.gem.wiki/Oak_Hill_(Cotton_Valley)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014181,Double A Wells (Woodbine) - Amplify,,oil and gas,asset,United States,Texas,30.73667883,-94.70967686,exact,operating,2019,,,Amplify Energy,,,,,,25645100_020467,"https://www.gem.wiki/Double_A_Wells_(Woodbine)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014182,"Carthage (Pettit, Lower Gas) - Amplify",,oil and gas,asset,United States,Texas,32.12824965,-94.3460133,exact,operating,2019,,,Amplify Energy,,,,,,16032650_020467,"https://www.gem.wiki/Carthage_(Pettit,_Lower_Gas)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014183,Carthage (Haynesville Shale) - Amplify,,oil and gas,asset,United States,Texas,32.04237047,-94.23038798,exact,operating,2019,,,Amplify Energy,,,,,,16032300_020467,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014184,Waskom (Cotton Valley) - Amplify,,oil and gas,asset,United States,Texas,32.48374534,-94.15736381,exact,operating,2019,,,Amplify Energy,,,,,,95369160_020467,"https://www.gem.wiki/Waskom_(Cotton_Valley)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014185,"Carthage, Se (CV) - Amplify",,oil and gas,asset,United States,Texas,31.97760623,-94.1003262,exact,operating,2019,,,Amplify Energy,,,,,,16039300_020467,"https://www.gem.wiki/Carthage,_Se_(CV)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014186,Joaquin (Travis Peak) - Amplify,,oil and gas,asset,United States,Texas,31.9555404,-94.04211582,exact,operating,2019,,,Amplify Energy,,,,,,46597900_020467,"https://www.gem.wiki/Joaquin_(Travis_Peak)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014187,"Lansing, N. (Cotton Valley, Lo.) - Amplify",,oil and gas,asset,United States,Texas,32.56344046,-94.68949046,exact,operating,2019,,,Amplify Energy,,,,,,52002050_020467,"https://www.gem.wiki/Lansing,_N._(Cotton_Valley,_Lo.)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014188,Minden (Cotton Valley Cons.) - Amplify,,oil and gas,asset,United States,Texas,32.12233223,-94.74662627,exact,operating,2019,,,Amplify Energy,,,,,,61792111_020467,"https://www.gem.wiki/Minden_(Cotton_Valley_Cons.)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014189,Gladewater (Haynesville) - Amplify,,oil and gas,asset,United States,Texas,32.61122781,-94.90470199,exact,operating,2019,,,Amplify Energy,,,,,,35134500_020467,"https://www.gem.wiki/Gladewater_(Haynesville)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014193,Phantom (Wolfcamp) - Anadarko,,oil and gas,asset,United States,Texas,31.7366506,-103.5942519,exact,operating,2019,,,Anadarko,,,,,,71052900_020528,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014194,Sandbar (Bone Spring) - Anadarko,,oil and gas,asset,United States,Texas,31.72743655,-103.5233857,exact,operating,2019,,,Anadarko,,,,,,80544500_020528,"https://www.gem.wiki/Sandbar_(Bone_Spring)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014195,Haley (Lwr. Wolfcamp-Penn Cons.) - Anadarko,,oil and gas,asset,United States,Texas,31.79075776,-103.4135994,exact,operating,2019,,,Anadarko,,,,,,38118300_020528,"https://www.gem.wiki/Haley_(Lwr._Wolfcamp-Penn_Cons.)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014196,Tahiti/Cae/Tong (GC640) - Anadarko,,oil and gas,asset,United States,Federal offshore,27.244,-90.83325,exact,operating,2020,,,Anadarko,,,,,,GC640_981,"https://www.gem.wiki/TahitiCaeTong_(GC640)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014197,King/Horn Mt. (MC084) - Anadarko,,oil and gas,asset,United States,Federal offshore,28.887,-88.0034,exact,operating,2020,,,Anadarko,,,,,,MC084_981,"https://www.gem.wiki/King_Horn_Mt._(MC084)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014198,Lucius (KC875) - Anadarko,,oil and gas,asset,United States,Federal offshore,26.10225,-92.0615,exact,operating,2020,,,Anadarko,,,,,,KC875_981,"https://www.gem.wiki/Lucius_(KC875)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014199,K2 (GC562) - Anadarko,,oil and gas,asset,United States,Federal offshore,27.4085,-90.281,exact,operating,2020,,,Anadarko,,,,,,GC562_981,"https://www.gem.wiki/K2_(GC562)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014200,Holstein (GC644) - Anadarko,,oil and gas,asset,United States,Federal offshore,27.3265,-90.539,exact,operating,2020,,,Anadarko,,,,,,GC644_981,"https://www.gem.wiki/Holstein_(GC644)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014201,Hopkins (GC627) - Anadarko,,oil and gas,asset,United States,Federal offshore,27.339,-91.393,exact,operating,2020,,,Anadarko,,,,,,GC627_981,"https://www.gem.wiki/Hopkins_(GC627)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
